stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\dev\Faculdade\compGrafica\SpriteWalking\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.02287] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02289] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02291] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02292] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02293] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02296] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02297] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02305] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02307] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02310] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02312] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02314] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02316] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02319] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02322] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02324] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02326] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02328] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02331] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02334] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02335] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02338] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02339] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02341] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02342] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02345] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02346] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02349] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02350] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02351] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02353] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02354] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02355] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02358] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02362] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02363] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02364] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02365] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02367] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02368] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02370] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02371] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02373] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02375] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02376] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02377] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02379] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02382] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02383] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02385] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02388] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02390] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02391] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02392] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02394] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02395] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02397] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02399] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02401] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02403] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02405] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02407] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02412] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02413] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02415] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02416] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
